date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:40:16	365/365	---M--	200	added ('OK')	text/plain	date:Thu,%2003%20Nov%202022%2017:40:15%20GMT	https://www.freak.pe/robots.txt		(from )
12:40:17	473369/473369	---MCZ	200	added ('OK')	text/html	date:Thu,%2003%20Nov%202022%2017:40:16%20GMT	https://www.freak.pe/	C:/My%20Web%20Sites/proyecto_04/www.freak.pe/index.html	(from )
12:40:17	651/651	---M--	200	added ('OK')	image/png	date:Wed,%2002%20Nov%202022%2003:16:36%20GMT	https://static.wixstatic.com/media/51c67e_fd4e05dd6b4e4543993d53280bf43d83~mv2.png/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/51c67e_fd4e05dd6b4e4543993d53280bf43d83~mv2.png	C:/My%20Web%20Sites/proyecto_04/static.wixstatic.com/media/51c67e_fd4e05dd6b4e4543993d53280bf43d83_mv2.png/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/51c67e_fd4e05dd6b4e4543993d53280bf43d83_mv2.png	(from https://www.freak.pe/)
12:40:17	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/proyecto_04/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.freak.pe/)
12:40:17	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/proyecto_04/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.freak.pe/)
12:40:18	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2026%20Oct%202022%2016:31:53%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/proyecto_04/polyfill.io/v3/polyfill.mind82c.js	(from https://www.freak.pe/)
12:40:18	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/My%20Web%20Sites/proyecto_04/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://www.freak.pe/)
12:40:18	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Nov%202022%2017:40:18%20GMT	https://www.freak.pe/decodeURIComponent(e	C:/My%20Web%20Sites/proyecto_04/www.freak.pe/decodeURIComponent(e	(from https://www.freak.pe/)
12:40:22	350/350	---M--	200	added ('OK')	text/xml	date:Thu,%2003%20Nov%202022%2017:40:21%20GMT	https://www.freak.pe/sitemap.xml	C:/My%20Web%20Sites/proyecto_04/www.freak.pe/sitemap.xml	(from https://www.freak.pe/)
12:40:22	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Nov%202022%2017:40:22%20GMT	https://www.freak.pe/feed.xml	C:/My%20Web%20Sites/proyecto_04/www.freak.pe/feed.xml	(from https://www.freak.pe/)
12:40:22	89782/89782	---M-Z	200	added ('OK')	application/javascript	etag:W/%22cdb23e9c70d669b7979ee4415d883fa0%22	https://static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/thunderbolt-commons.dd8c7677.bundle.min.js	C:/My%20Web%20Sites/proyecto_04/static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/thunderbolt-commons.dd8c7677.bundle.min.js	(from https://www.freak.pe/)
12:40:22	172573/172573	---M-Z	200	added ('OK')	application/javascript	etag:W/%22b685e137166b5ccb0000750b8d35924b%22	https://static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/main.bf19740b.bundle.min.js	C:/My%20Web%20Sites/proyecto_04/static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/main.bf19740b.bundle.min.js	(from https://www.freak.pe/)
12:40:22	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	C:/My%20Web%20Sites/proyecto_04/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://www.freak.pe/)
12:40:23	12463/12463	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263d498e143f421cc44dfb64f22fef270%22	https://static.parastorage.com/unpkg/react@16.14.0/umd/react.production.min.js	C:/My%20Web%20Sites/proyecto_04/static.parastorage.com/unpkg/react@16.14.0/umd/react.production.min.js	(from https://www.freak.pe/)
12:40:23	11216/11216	---M-Z	200	added ('OK')	application/javascript	etag:W/%2274b64900831a2e814a8ff0cdedcf80cb%22	https://static.parastorage.com/services/tag-manager-client/1.427.0/siteTags.bundle.min.js	C:/My%20Web%20Sites/proyecto_04/static.parastorage.com/services/tag-manager-client/1.427.0/siteTags.bundle.min.js	(from https://www.freak.pe/)
12:40:23	41172/41172	---M-Z	200	added ('OK')	application/javascript	etag:W/%2272cd3e3e90088aa5acd84acd0d7346c6%22	https://static.parastorage.com/services/wix-perf-measure/1.1042.0/wix-perf-measure.bundle.min.js	C:/My%20Web%20Sites/proyecto_04/static.parastorage.com/services/wix-perf-measure/1.1042.0/wix-perf-measure.bundle.min.js	(from https://www.freak.pe/)
12:40:23	118656/118656	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c5abc87541fe6bb0f43f22af475a8b20%22	https://static.parastorage.com/unpkg/react-dom@16.14.0/umd/react-dom.production.min.js	C:/My%20Web%20Sites/proyecto_04/static.parastorage.com/unpkg/react-dom@16.14.0/umd/react-dom.production.min.js	(from https://www.freak.pe/)
12:40:24	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Nov%202022%2017:40:24%20GMT	https://www.freak.pe/eec152dc.min.css	C:/My%20Web%20Sites/proyecto_04/www.freak.pe/eec152dc.min.css	(from https://www.freak.pe/)
12:40:24	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Nov%202022%2017:40:24%20GMT	https://www.freak.pe/b604fd33.min.css	C:/My%20Web%20Sites/proyecto_04/www.freak.pe/b604fd33.min.css	(from https://www.freak.pe/)
12:40:25	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Nov%202022%2017:40:25%20GMT	https://www.freak.pe/99a6a99f.min.css	C:/My%20Web%20Sites/proyecto_04/www.freak.pe/99a6a99f.min.css	(from https://www.freak.pe/)
12:40:25	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Nov%202022%2017:40:25%20GMT	https://www.freak.pe/34b72cf9.min.css	C:/My%20Web%20Sites/proyecto_04/www.freak.pe/34b72cf9.min.css	(from https://www.freak.pe/)
12:40:26	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Nov%202022%2017:40:26%20GMT	https://www.freak.pe/08241ed1.chunk.min.js	C:/My%20Web%20Sites/proyecto_04/www.freak.pe/08241ed1.chunk.min.js	(from https://www.freak.pe/)
12:40:26	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Nov%202022%2017:40:26%20GMT	https://www.freak.pe/c58e6b29.chunk.min.js	C:/My%20Web%20Sites/proyecto_04/www.freak.pe/c58e6b29.chunk.min.js	(from https://www.freak.pe/)
12:40:27	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Nov%202022%2017:40:27%20GMT	https://www.freak.pe/rb_wixui.thunderbolt~bootstrap-classic.e869e806.chunk.min.js	C:/My%20Web%20Sites/proyecto_04/www.freak.pe/rb_wixui.thunderbolt_bootstrap-classic.e869e806.chunk.min.js	(from https://www.freak.pe/)
12:40:27	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Nov%202022%2017:40:27%20GMT	https://www.freak.pe/rb_wixui.thunderbolt~bootstrap.8a86afda.chunk.min.css	C:/My%20Web%20Sites/proyecto_04/www.freak.pe/rb_wixui.thunderbolt_bootstrap.8a86afda.chunk.min.css	(from https://www.freak.pe/)
12:40:28	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Nov%202022%2017:40:28%20GMT	https://www.freak.pe/rb_wixui.thunderbolt~bootstrap.08241ed1.chunk.min.js	C:/My%20Web%20Sites/proyecto_04/www.freak.pe/rb_wixui.thunderbolt_bootstrap.08241ed1.chunk.min.js	(from https://www.freak.pe/)
12:40:28	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Nov%202022%2017:40:28%20GMT	https://www.freak.pe/rb_wixui.thunderbolt~bootstrap-responsive.f3ca696f.chunk.min.css	C:/My%20Web%20Sites/proyecto_04/www.freak.pe/rb_wixui.thunderbolt_bootstrap-responsive.f3ca696f.chunk.min.css	(from https://www.freak.pe/)
12:40:29	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Nov%202022%2017:40:29%20GMT	https://www.freak.pe/rb_wixui.thunderbolt~bootstrap-responsive.c58e6b29.chunk.min.js	C:/My%20Web%20Sites/proyecto_04/www.freak.pe/rb_wixui.thunderbolt_bootstrap-responsive.c58e6b29.chunk.min.js	(from https://www.freak.pe/)
12:40:29	3605/3605	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Nov%202022%2017:40:29%20GMT	https://static.wixstatic.com/media/51c67e_4d519065a33d42fc8d6f141b26bfb275~mv2.png/v1/fill/w_125,h_62,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/FREAK%20LOGO%20WEB.png	C:/My%20Web%20Sites/proyecto_04/static.wixstatic.com/media/51c67e_4d519065a33d42fc8d6f141b26bfb275_mv2.png/v1/fill/w_125,h_62,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/FREAK%20LOGO%20WEB.png	(from https://www.freak.pe/)
12:40:31	851658/851658	---MCZ	200	added ('OK')	text/html	date:Thu,%2003%20Nov%202022%2017:40:30%20GMT	https://www.freak.pe/tienda	C:/My%20Web%20Sites/proyecto_04/www.freak.pe/tienda.html	(from https://www.freak.pe/)
12:40:32	869653/869653	---MCZ	200	added ('OK')	text/html	date:Thu,%2003%20Nov%202022%2017:40:31%20GMT	https://www.freak.pe/polos	C:/My%20Web%20Sites/proyecto_04/www.freak.pe/polos.html	(from https://www.freak.pe/)
